0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,language
g,o,d,.,.,.,.,.,.,.,.,.,.,.,.,.,english
y,e,a,r,s,.,.,.,.,.,.,.,.,.,.,.,english
o,f,f,.,.,.,.,.,.,.,.,.,.,.,.,.,english
f,a,c,e,.,.,.,.,.,.,.,.,.,.,.,.,english
n,o,t,h,i,n,g,.,.,.,.,.,.,.,.,.,english
r,i,g,h,t,.,.,.,.,.,.,.,.,.,.,.,english
o,n,c,e,.,.,.,.,.,.,.,.,.,.,.,.,english
a,n,o,t,h,e,r,.,.,.,.,.,.,.,.,.,english
l,e,f,t,.,.,.,.,.,.,.,.,.,.,.,.,english
p,a,r,t,.,.,.,.,.,.,.,.,.,.,.,.,english
s,a,w,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,o,u,s,e,.,.,.,.,.,.,.,.,.,.,.,english
w,o,r,l,d,.,.,.,.,.,.,.,.,.,.,.,english
h,e,a,d,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,r,e,e,.,.,.,.,.,.,.,.,.,.,.,english
t,o,o,k,.,.,.,.,.,.,.,.,.,.,.,.,english
n,e,w,.,.,.,.,.,.,.,.,.,.,.,.,.,english
l,o,v,e,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,w,a,y,s,.,.,.,.,.,.,.,.,.,.,english
m,r,s,.,.,.,.,.,.,.,.,.,.,.,.,.,english
p,u,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
n,i,g,h,t,.,.,.,.,.,.,.,.,.,.,.,english
e,a,c,h,.,.,.,.,.,.,.,.,.,.,.,.,english
k,i,n,g,.,.,.,.,.,.,.,.,.,.,.,.,english
b,e,t,w,e,e,n,.,.,.,.,.,.,.,.,.,english
t,e,l,l,.,.,.,.,.,.,.,.,.,.,.,.,english
m,i,n,d,.,.,.,.,.,.,.,.,.,.,.,.,english
h,e,a,r,t,.,.,.,.,.,.,.,.,.,.,.,english
f,e,w,.,.,.,.,.,.,.,.,.,.,.,.,.,english
b,e,c,a,u,s,e,.,.,.,.,.,.,.,.,.,english
t,h,i,n,g,.,.,.,.,.,.,.,.,.,.,.,english
w,h,o,m,.,.,.,.,.,.,.,.,.,.,.,.,english
f,a,r,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,e,e,m,e,d,.,.,.,.,.,.,.,.,.,.,english
l,o,o,k,e,d,.,.,.,.,.,.,.,.,.,.,english
c,a,l,l,e,d,.,.,.,.,.,.,.,.,.,.,english
w,h,o,l,e,.,.,.,.,.,.,.,.,.,.,.,english
d,e,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
s,e,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
b,o,t,h,.,.,.,.,.,.,.,.,.,.,.,.,english
g,o,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
f,i,n,d,.,.,.,.,.,.,.,.,.,.,.,.,english
d,o,n,e,.,.,.,.,.,.,.,.,.,.,.,.,english
h,e,a,r,d,.,.,.,.,.,.,.,.,.,.,.,english
l,o,o,k,.,.,.,.,.,.,.,.,.,.,.,.,english
n,a,m,e,.,.,.,.,.,.,.,.,.,.,.,.,english
d,a,y,s,.,.,.,.,.,.,.,.,.,.,.,.,english
t,o,l,d,.,.,.,.,.,.,.,.,.,.,.,.,english
l,e,t,.,.,.,.,.,.,.,.,.,.,.,.,.,english
l,o,r,d,.,.,.,.,.,.,.,.,.,.,.,.,english
c,o,u,n,t,r,y,.,.,.,.,.,.,.,.,.,english
a,s,k,e,d,.,.,.,.,.,.,.,.,.,.,.,english
g,o,i,n,g,.,.,.,.,.,.,.,.,.,.,.,english
s,e,e,n,.,.,.,.,.,.,.,.,.,.,.,.,english
b,e,t,t,e,r,.,.,.,.,.,.,.,.,.,.,english
p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,a,v,i,n,g,.,.,.,.,.,.,.,.,.,.,english
h,o,m,e,.,.,.,.,.,.,.,.,.,.,.,.,english
k,n,e,w,.,.,.,.,.,.,.,.,.,.,.,.,english
s,i,d,e,.,.,.,.,.,.,.,.,.,.,.,.,english
s,o,m,e,t,h,i,n,g,.,.,.,.,.,.,.,english
m,o,m,e,n,t,.,.,.,.,.,.,.,.,.,.,english
f,a,t,h,e,r,.,.,.,.,.,.,.,.,.,.,english
a,m,o,n,g,.,.,.,.,.,.,.,.,.,.,.,english
c,o,u,r,s,e,.,.,.,.,.,.,.,.,.,.,english
h,a,n,d,s,.,.,.,.,.,.,.,.,.,.,.,english
w,o,m,a,n,.,.,.,.,.,.,.,.,.,.,.,english
e,n,o,u,g,h,.,.,.,.,.,.,.,.,.,.,english
w,o,r,d,s,.,.,.,.,.,.,.,.,.,.,.,english
m,o,t,h,e,r,.,.,.,.,.,.,.,.,.,.,english
s,o,o,n,.,.,.,.,.,.,.,.,.,.,.,.,english
f,u,l,l,.,.,.,.,.,.,.,.,.,.,.,.,english
e,n,d,.,.,.,.,.,.,.,.,.,.,.,.,.,english
g,a,v,e,.,.,.,.,.,.,.,.,.,.,.,.,english
r,o,o,m,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,m,o,s,t,.,.,.,.,.,.,.,.,.,.,english
s,m,a,l,l,.,.,.,.,.,.,.,.,.,.,.,english
t,h,o,u,.,.,.,.,.,.,.,.,.,.,.,.,english
c,a,n,n,o,t,.,.,.,.,.,.,.,.,.,.,english
w,a,t,e,r,.,.,.,.,.,.,.,.,.,.,.,english
w,a,n,t,.,.,.,.,.,.,.,.,.,.,.,.,english
h,o,w,e,v,e,r,.,.,.,.,.,.,.,.,.,english
l,i,g,h,t,.,.,.,.,.,.,.,.,.,.,.,english
q,u,i,t,e,.,.,.,.,.,.,.,.,.,.,.,english
b,r,o,u,g,h,t,.,.,.,.,.,.,.,.,.,english
n,o,r,.,.,.,.,.,.,.,.,.,.,.,.,.,english
w,o,r,d,.,.,.,.,.,.,.,.,.,.,.,.,english
w,h,o,s,e,.,.,.,.,.,.,.,.,.,.,.,english
g,i,v,e,n,.,.,.,.,.,.,.,.,.,.,.,english
d,o,o,r,.,.,.,.,.,.,.,.,.,.,.,.,english
b,e,s,t,.,.,.,.,.,.,.,.,.,.,.,.,english
t,u,r,n,e,d,.,.,.,.,.,.,.,.,.,.,english
t,a,k,e,n,.,.,.,.,.,.,.,.,.,.,.,english
d,o,e,s,.,.,.,.,.,.,.,.,.,.,.,.,english
u,s,e,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,o,r,n,i,n,g,.,.,.,.,.,.,.,.,.,english
m,y,s,e,l,f,.,.,.,.,.,.,.,.,.,.,english
g,u,t,e,n,b,e,r,g,.,.,.,.,.,.,.,english
f,e,l,t,.,.,.,.,.,.,.,.,.,.,.,.,english
u,n,t,i,l,.,.,.,.,.,.,.,.,.,.,.,english
s,i,n,c,e,.,.,.,.,.,.,.,.,.,.,.,english
p,o,w,e,r,.,.,.,.,.,.,.,.,.,.,.,english
t,h,e,m,s,e,l,v,e,s,.,.,.,.,.,.,english
u,s,e,d,.,.,.,.,.,.,.,.,.,.,.,.,english
r,a,t,h,e,r,.,.,.,.,.,.,.,.,.,.,english
b,e,g,a,n,.,.,.,.,.,.,.,.,.,.,.,english
p,r,e,s,e,n,t,.,.,.,.,.,.,.,.,.,english
v,o,i,c,e,.,.,.,.,.,.,.,.,.,.,.,english
o,t,h,e,r,s,.,.,.,.,.,.,.,.,.,.,english
w,h,i,t,e,.,.,.,.,.,.,.,.,.,.,.,english
w,o,r,k,s,.,.,.,.,.,.,.,.,.,.,.,english
l,e,s,s,.,.,.,.,.,.,.,.,.,.,.,.,english
m,o,n,e,y,.,.,.,.,.,.,.,.,.,.,.,english
n,e,x,t,.,.,.,.,.,.,.,.,.,.,.,.,english
p,o,o,r,.,.,.,.,.,.,.,.,.,.,.,.,english
d,e,a,t,h,.,.,.,.,.,.,.,.,.,.,.,english
s,t,o,o,d,.,.,.,.,.,.,.,.,.,.,.,english
f,o,r,m,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,t,h,i,n,.,.,.,.,.,.,.,.,.,.,english
t,o,g,e,t,h,e,r,.,.,.,.,.,.,.,.,english
t,i,l,l,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
l,a,r,g,e,.,.,.,.,.,.,.,.,.,.,.,english
m,a,t,t,e,r,.,.,.,.,.,.,.,.,.,.,english
k,i,n,d,.,.,.,.,.,.,.,.,.,.,.,.,english
o,f,t,e,n,.,.,.,.,.,.,.,.,.,.,.,english
c,e,r,t,a,i,n,.,.,.,.,.,.,.,.,.,english
h,e,r,s,e,l,f,.,.,.,.,.,.,.,.,.,english
y,e,a,r,.,.,.,.,.,.,.,.,.,.,.,.,english
f,r,i,e,n,d,.,.,.,.,.,.,.,.,.,.,english
h,a,l,f,.,.,.,.,.,.,.,.,.,.,.,.,english
o,r,d,e,r,.,.,.,.,.,.,.,.,.,.,.,english
r,o,u,n,d,.,.,.,.,.,.,.,.,.,.,.,english
t,r,u,e,.,.,.,.,.,.,.,.,.,.,.,.,english
a,n,y,t,h,i,n,g,.,.,.,.,.,.,.,.,english
k,e,e,p,.,.,.,.,.,.,.,.,.,.,.,.,english
s,e,n,t,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,f,e,.,.,.,.,.,.,.,.,.,.,.,.,english
m,e,a,n,s,.,.,.,.,.,.,.,.,.,.,.,english
b,e,l,i,e,v,e,.,.,.,.,.,.,.,.,.,english
p,a,s,s,e,d,.,.,.,.,.,.,.,.,.,.,english
f,e,e,t,.,.,.,.,.,.,.,.,.,.,.,.,english
n,e,a,r,.,.,.,.,.,.,.,.,.,.,.,.,english
p,u,b,l,i,c,.,.,.,.,.,.,.,.,.,.,english
s,t,a,t,e,.,.,.,.,.,.,.,.,.,.,.,english
s,o,n,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,u,n,d,r,e,d,.,.,.,.,.,.,.,.,.,english
c,h,i,l,d,r,e,n,.,.,.,.,.,.,.,.,english
t,h,u,s,.,.,.,.,.,.,.,.,.,.,.,.,english
h,o,p,e,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,o,n,e,.,.,.,.,.,.,.,.,.,.,.,english
a,b,o,v,e,.,.,.,.,.,.,.,.,.,.,.,english
c,a,s,e,.,.,.,.,.,.,.,.,.,.,.,.,english
d,e,a,r,.,.,.,.,.,.,.,.,.,.,.,.,english
t,h,e,e,.,.,.,.,.,.,.,.,.,.,.,.,english
s,a,y,s,.,.,.,.,.,.,.,.,.,.,.,.,english
p,e,r,s,o,n,.,.,.,.,.,.,.,.,.,.,english
h,i,g,h,.,.,.,.,.,.,.,.,.,.,.,.,english
r,e,a,d,.,.,.,.,.,.,.,.,.,.,.,.,english
c,i,t,y,.,.,.,.,.,.,.,.,.,.,.,.,english
a,l,r,e,a,d,y,.,.,.,.,.,.,.,.,.,english
r,e,c,e,i,v,e,d,.,.,.,.,.,.,.,.,english
f,a,c,t,.,.,.,.,.,.,.,.,.,.,.,.,english
g,o,n,e,.,.,.,.,.,.,.,.,.,.,.,.,english
g,i,r,l,.,.,.,.,.,.,.,.,.,.,.,.,english
k,n,o,w,n,.,.,.,.,.,.,.,.,.,.,.,english
h,e,a,r,.,.,.,.,.,.,.,.,.,.,.,.,english
t,i,m,e,s,.,.,.,.,.,.,.,.,.,.,.,english
l,e,a,s,t,.,.,.,.,.,.,.,.,.,.,.,english
p,e,r,h,a,p,s,.,.,.,.,.,.,.,.,.,english
s,u,r,e,.,.,.,.,.,.,.,.,.,.,.,.,english
i,n,d,e,e,d,.,.,.,.,.,.,.,.,.,.,english
e,n,g,l,i,s,h,.,.,.,.,.,.,.,.,.,english
o,p,e,n,.,.,.,.,.,.,.,.,.,.,.,.,english
b,o,d,y,.,.,.,.,.,.,.,.,.,.,.,.,english
i,t,s,e,l,f,.,.,.,.,.,.,.,.,.,.,english
a,l,o,n,g,.,.,.,.,.,.,.,.,.,.,.,english
l,a,n,d,.,.,.,.,.,.,.,.,.,.,.,.,english
r,e,t,u,r,n,.,.,.,.,.,.,.,.,.,.,english
l,e,a,v,e,.,.,.,.,.,.,.,.,.,.,.,english
a,i,r,.,.,.,.,.,.,.,.,.,.,.,.,.,english
n,a,t,u,r,e,.,.,.,.,.,.,.,.,.,.,english
a,n,s,w,e,r,e,d,.,.,.,.,.,.,.,.,english
e,i,t,h,e,r,.,.,.,.,.,.,.,.,.,.,english
l,a,w,.,.,.,.,.,.,.,.,.,.,.,.,.,english
h,e,l,p,.,.,.,.,.,.,.,.,.,.,.,.,english
l,a,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
p,o,i,n,t,.,.,.,.,.,.,.,.,.,.,.,english
c,h,i,l,d,.,.,.,.,.,.,.,.,.,.,.,english
l,e,t,t,e,r,.,.,.,.,.,.,.,.,.,.,english
f,o,u,r,.,.,.,.,.,.,.,.,.,.,.,.,english
w,i,s,h,.,.,.,.,.,.,.,.,.,.,.,.,english
f,i,r,e,.,.,.,.,.,.,.,.,.,.,.,.,english
c,r,i,e,d,.,.,.,.,.,.,.,.,.,.,.,english
w,o,m,e,n,.,.,.,.,.,.,.,.,.,.,.,english
s,p,e,a,k,.,.,.,.,.,.,.,.,.,.,.,english
n,u,m,b,e,r,.,.,.,.,.,.,.,.,.,.,english
t,h,e,r,e,f,o,r,e,.,.,.,.,.,.,.,english
h,o,u,r,.,.,.,.,.,.,.,.,.,.,.,.,english
f,r,i,e,n,d,s,.,.,.,.,.,.,.,.,.,english
h,e,l,d,.,.,.,.,.,.,.,.,.,.,.,.,english
f,r,e,e,.,.,.,.,.,.,.,.,.,.,.,.,english
w,a,r,.,.,.,.,.,.,.,.,.,.,.,.,.,english
d,u,r,i,n,g,.,.,.,.,.,.,.,.,.,.,english
s,e,v,e,r,a,l,.,.,.,.,.,.,.,.,.,english
b,u,s,i,n,e,s,s,.,.,.,.,.,.,.,.,english
w,h,e,t,h,e,r,.,.,.,.,.,.,.,.,.,english
e,r,.,.,.,.,.,.,.,.,.,.,.,.,.,.,english
m,a,n,n,e,r,.,.,.,.,.,.,.,.,.,.,english
s,e,c,o,n,d,.,.,.,.,.,.,.,.,.,.,english
r,e,a,s,o,n,.,.,.,.,.,.,.,.,.,.,english
r,e,p,l,i,e,d,.,.,.,.,.,.,.,.,.,english
u,n,i,t,e,d,.,.,.,.,.,.,.,.,.,.,english
c,a,l,l,.,.,.,.,.,.,.,.,.,.,.,.,english
g,e,n,e,r,a,l,.,.,.,.,.,.,.,.,.,english
w,h,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
b,e,h,i,n,d,.,.,.,.,.,.,.,.,.,.,english
b,e,c,a,m,e,.,.,.,.,.,.,.,.,.,.,english
j,o,h,n,.,.,.,.,.,.,.,.,.,.,.,.,english
b,e,c,o,m,e,.,.,.,.,.,.,.,.,.,.,english
d,e,a,d,.,.,.,.,.,.,.,.,.,.,.,.,english
e,a,r,t,h,.,.,.,.,.,.,.,.,.,.,.,english
b,o,y,.,.,.,.,.,.,.,.,.,.,.,.,.,english
l,o,s,t,.,.,.,.,.,.,.,.,.,.,.,.,english
f,o,r,t,h,.,.,.,.,.,.,.,.,.,.,.,english
t,h,o,u,s,a,n,d,.,.,.,.,.,.,.,.,english
l,o,o,k,i,n,g,.,.,.,.,.,.,.,.,.,english
f,a,m,i,l,y,.,.,.,.,.,.,.,.,.,.,english
s,o,u,l,.,.,.,.,.,.,.,.,.,.,.,.,english
f,e,e,l,.,.,.,.,.,.,.,.,.,.,.,.,english
c,o,m,i,n,g,.,.,.,.,.,.,.,.,.,.,english
e,n,g,l,a,n,d,.,.,.,.,.,.,.,.,.,english
s,p,i,r,i,t,.,.,.,.,.,.,.,.,.,.,english
q,u,e,s,t,i,o,n,.,.,.,.,.,.,.,.,english
c,a,r,e,.,.,.,.,.,.,.,.,.,.,.,.,english
t,r,u,t,h,.,.,.,.,.,.,.,.,.,.,.,english
g,r,o,u,n,d,.,.,.,.,.,.,.,.,.,.,english
r,e,a,l,l,y,.,.,.,.,.,.,.,.,.,.,english
r,e,s,t,.,.,.,.,.,.,.,.,.,.,.,.,english
m,e,a,n,.,.,.,.,.,.,.,.,.,.,.,.,english
d,i,f,f,e,r,e,n,t,.,.,.,.,.,.,.,english
m,a,k,i,n,g,.,.,.,.,.,.,.,.,.,.,english
p,o,s,s,i,b,l,e,.,.,.,.,.,.,.,.,english
f,e,l,l,.,.,.,.,.,.,.,.,.,.,.,.,english
t,o,w,a,r,d,s,.,.,.,.,.,.,.,.,.,english
h,u,m,a,n,.,.,.,.,.,.,.,.,.,.,.,english
k,e,p,t,.,.,.,.,.,.,.,.,.,.,.,.,english
s,h,o,r,t,.,.,.,.,.,.,.,.,.,.,.,english
t,o,w,n,.,.,.,.,.,.,.,.,.,.,.,.,english
f,o,l,l,o,w,i,n,g,.,.,.,.,.,.,.,english
n,e,e,d,.,.,.,.,.,.,.,.,.,.,.,.,english
